Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47,Fs48,Fs49,Fs50,Fs51,Fs52,Fs53,Fs54,Fs55,Fs56,Fs57,Fs58,Fs59,Fs60,Fs61,Fs62,Fs63
PortScan,"[8081tcp00S0, 1138628]","[80tcp00S0, 1024607]","[8080tcp00S0, 113766]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan-Attack,"[8080tcp00S0, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 260]","[53udp1560S0, 154]","[18344tcp00RSTOS0, 145]","[53udp900S0, 139]","[53udp9090SF, 139]","[123udp960S0, 131]","[0icmp560OTH, 131]","[1icmp800OTH, 118]","[80tcp00RSTO, 118]","[123udp9696SF, 117]","[8081tcp00REJ, 101]","[17832tcp00RSTOS0, 98]","[17576tcp00RSTOS0, 94]","[80tcp00RSTRH, 89]","[0icmp800OTH, 88]","[80tcp00REJ, 60]","[13icmp560OTH, 49]","[0icmp1360OTH, 34]","[8080tcp00REJ, 30]","[1icmp560OTH, 27]","[1icmp880OTH, 23]","[8080tcp00RSTRH, 22]","[3icmp800OTH, 18]","[53udp1800S0, 16]","[8081tcp00RSTO, 11]","[8080tcp00RSTO, 10]","[53udp780S0, 10]","[53udp78206SF, 7]","[17576tcp00REJ, 6]","[13icmp840OTH, 5]","[0icmp880OTH, 5]","[0icmp2800OTH, 4]","[123udp384288SF, 3]","[53udp156206SF, 3]","[123udp672576SF, 3]","[123udp1920S0, 3]","[13icmp920OTH, 2]","[123udp864768SF, 2]","[3icmp880OTH, 2]","[1icmp1360OTH, 2]","[123udp11521056SF, 2]","[13icmp800OTH, 2]","[123udp576576SF, 1]","[80tcp201351SF, 1]","[8080tcp2010S2, 1]","[13icmp880OTH, 1]","[0icmp2720OTH, 1]","[5355udp45225SF, 1]","[53udp3120S0, 1]","[3icmp560OTH, 1]","[13icmp1360OTH, 1]","[53udp360180SF, 1]","[123udp23042208SF, 1]","[5353udp16500S0, 1]","[2icmp560OTH, 1]","[123udp18241728SF, 1]","[0icmp1600OTH, 1]","[17832tcp00REJ, 1]","[123udp288192SF, 1]","[123udp480384SF, 1]","[18344tcp00REJ, 1]","[43406tcp00RSTOS0, 1]","[123udp17281632SF, 1]"
C&C-HeartBeat,"[666tcp00S0, 535]","[666tcp00REJ, 30]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138091]","[52869tcp00REJ, 191]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138190]","[37215tcp00REJ, 113]","[37215tcp00RSTO, 11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138382]","[80tcp00S0, 1024565]","[8080tcp00S0, 113815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 657]","[53udp1560S0, 378]","[18344tcp00RSTOS0, 254]","[10icmp800OTH, 200]","[17576tcp00RSTOS0, 172]","[123udp960S0, 135]","[17832tcp00RSTOS0, 125]","[80tcp00RSTRH, 107]","[0icmp560OTH, 100]","[53udp900S0, 95]","[80tcp00RSTO, 91]","[1icmp800OTH, 81]","[0icmp800OTH, 68]","[13icmp560OTH, 32]","[1icmp560OTH, 25]","[17576tcp00REJ, 21]","[3icmp800OTH, 19]","[53udp780S0, 18]","[0icmp1360OTH, 17]","[8080tcp00RSTRH, 16]","[53udp78206SF, 11]","[1icmp880OTH, 11]","[53udp156206SF, 9]","[13icmp840OTH, 6]","[17832tcp00REJ, 4]","[8080tcp00RSTO, 4]","[123udp12481152SF, 3]","[0icmp880OTH, 3]","[123udp384288SF, 3]","[123udp672576SF, 3]","[123udp19201824SF, 2]","[13icmp1360OTH, 2]","[53udp7878SF, 2]","[123udp288192SF, 2]","[53udp90240SF, 2]","[123udp768672SF, 1]","[123udp480384SF, 1]","[0icmp1600OTH, 1]","[10icmp880OTH, 1]","[123udp24962400SF, 1]","[80tcp00REJ, 1]","[18344tcp00REJ, 1]","[50914tcp00REJ, 1]","[123udp13441248SF, 1]","[123udp16321536SF, 1]","[123udp1920S0, 1]","[3icmp1600OTH, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 571]","[666tcp00REJ, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138310]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138201]","[80tcp00S0, 1024421]","[8080tcp00S0, 113810]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 778]","[53udp1560S0, 392]","[18344tcp00RSTOS0, 264]","[10icmp800OTH, 187]","[17576tcp00RSTOS0, 177]","[17832tcp00RSTOS0, 134]","[123udp960S0, 131]","[80tcp00RSTRH, 125]","[80tcp00RSTO, 97]","[0icmp560OTH, 96]","[1icmp800OTH, 86]","[0icmp800OTH, 84]","[13icmp560OTH, 63]","[1icmp560OTH, 28]","[0icmp1360OTH, 23]","[3icmp800OTH, 20]","[1icmp880OTH, 18]","[17576tcp00REJ, 16]","[8080tcp00RSTRH, 15]","[53udp780S0, 15]","[53udp78206SF, 12]","[8080tcp00RSTO, 5]","[53udp1800S0, 4]","[13icmp840OTH, 4]","[123udp384288SF, 3]","[17832tcp00REJ, 3]","[53udp156206SF, 3]","[0icmp2800OTH, 3]","[123udp1056960SF, 2]","[123udp672576SF, 1]","[0icmp1600OTH, 1]","[123udp768672SF, 1]","[123udp22082112SF, 1]","[13icmp800OTH, 1]","[123udp19201824SF, 1]","[44820tcp00RSTOS0, 1]","[3icmp3200OTH, 1]","[123udp576480SF, 1]","[123udp14401344SF, 1]","[123udp1920S0, 1]",,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 574]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138314]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138470]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138475]","[80tcp00S0, 1024143]","[8080tcp00S0, 113779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 788]","[53udp1560S0, 394]","[18344tcp00RSTOS0, 276]","[17576tcp00RSTOS0, 219]","[10icmp800OTH, 183]","[17832tcp00RSTOS0, 154]","[123udp960S0, 150]","[0icmp560OTH, 97]","[1icmp800OTH, 95]","[80tcp00RSTO, 84]","[80tcp00RSTRH, 82]","[0icmp800OTH, 63]","[13icmp560OTH, 46]","[1icmp560OTH, 21]","[0icmp1360OTH, 17]","[1icmp880OTH, 16]","[8080tcp00RSTRH, 15]","[3icmp800OTH, 14]","[53udp780S0, 13]","[17576tcp00REJ, 9]","[53udp78206SF, 8]","[53udp156206SF, 5]","[1icmp1360OTH, 4]","[17832tcp00REJ, 3]","[8080tcp00RSTO, 3]","[13icmp840OTH, 3]","[13icmp800OTH, 2]","[3icmp560OTH, 2]","[0icmp1600OTH, 2]","[0icmp920OTH, 1]","[123udp672576SF, 1]","[1icmp1120OTH, 1]","[45314tcp00RSTOS0, 1]","[0icmp2800OTH, 1]","[45396tcp00RSTOS0, 1]","[0icmp840OTH, 1]","[123udp576192SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 573]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138301]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138377]","[80tcp00S0, 1024666]","[8080tcp00S0, 113836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 757]","[53udp1560S0, 389]","[18344tcp00RSTOS0, 256]","[10icmp800OTH, 206]","[17576tcp00RSTOS0, 173]","[123udp960S0, 159]","[17832tcp00RSTOS0, 134]","[80tcp00RSTRH, 111]","[0icmp560OTH, 89]","[80tcp00RSTO, 85]","[1icmp800OTH, 81]","[0icmp800OTH, 58]","[13icmp560OTH, 45]","[1icmp560OTH, 27]","[0icmp1360OTH, 23]","[17576tcp00REJ, 16]","[53udp780S0, 16]","[8080tcp00RSTRH, 16]","[53udp78206SF, 13]","[3icmp800OTH, 10]","[53udp1800S0, 10]","[1icmp880OTH, 9]","[8080tcp00RSTO, 8]","[17832tcp00REJ, 6]","[0icmp2800OTH, 3]","[53udp156206SF, 3]","[13icmp1360OTH, 3]","[18344tcp00REJ, 2]","[13icmp840OTH, 2]","[3icmp880OTH, 2]","[0icmp920OTH, 1]","[45990tcp00RSTOS0, 1]","[0icmp1600OTH, 1]","[0icmp2880OTH, 1]","[53udp18090SF, 1]","[53484tcp00REJ, 1]","[13icmp800OTH, 1]","[1icmp1360OTH, 1]","[13icmp920OTH, 1]","[56420tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1137989]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138520]","[80tcp00S0, 1024395]","[8080tcp00S0, 113820]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 670]","[53udp1560S0, 335]","[18344tcp00RSTOS0, 281]","[123udp960S0, 220]","[17576tcp00RSTOS0, 193]","[10icmp800OTH, 167]","[0icmp560OTH, 108]","[17832tcp00RSTOS0, 102]","[80tcp00RSTRH, 91]","[1icmp800OTH, 86]","[0icmp800OTH, 65]","[80tcp00RSTO, 59]","[13icmp560OTH, 52]","[53udp780S0, 31]","[1icmp560OTH, 26]","[53udp78206SF, 24]","[8080tcp00RSTRH, 19]","[17576tcp00REJ, 17]","[3icmp800OTH, 17]","[0icmp1360OTH, 16]","[1icmp880OTH, 9]","[53udp156206SF, 7]","[13icmp800OTH, 5]","[0icmp1120OTH, 3]","[0icmp2800OTH, 3]","[13icmp1360OTH, 3]","[123udp57696SF, 2]","[0icmp1600OTH, 2]","[17832tcp00REJ, 1]","[1icmp1120OTH, 1]","[1icmp1360OTH, 1]","[8080tcp00RSTO, 1]","[123udp67296SF, 1]","[123udp19296SF, 1]","[0icmp880OTH, 1]","[47292tcp00RSTOS0, 1]","[3icmp1600OTH, 1]","[18344tcp00REJ, 1]","[13icmp840OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 572]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138482]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138352]","[80tcp00S0, 1024333]","[8080tcp00S0, 113804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 744]","[53udp1560S0, 373]","[18344tcp00RSTOS0, 243]","[17576tcp00RSTOS0, 224]","[10icmp800OTH, 215]","[123udp960S0, 169]","[17832tcp00RSTOS0, 139]","[80tcp00RSTRH, 112]","[80tcp00RSTO, 94]","[0icmp560OTH, 89]","[1icmp800OTH, 85]","[0icmp800OTH, 84]","[13icmp560OTH, 48]","[1icmp560OTH, 29]","[0icmp1360OTH, 25]","[3icmp800OTH, 20]","[53udp780S0, 20]","[8080tcp00RSTRH, 20]","[53udp78206SF, 18]","[1icmp880OTH, 15]","[17576tcp00REJ, 10]","[17832tcp00REJ, 9]","[8080tcp00RSTO, 4]","[13icmp840OTH, 3]","[13icmp1360OTH, 2]","[53udp156206SF, 2]","[47508tcp00RSTOS0, 1]","[18344tcp00REJ, 1]","[2icmp560OTH, 1]","[0icmp2720OTH, 1]","[123udp1920S0, 1]","[13icmp800OTH, 1]","[0icmp2800OTH, 1]","[0icmp880OTH, 1]","[13icmp920OTH, 1]","[48252tcp00RSTOS0, 1]","[0icmp920OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 572]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138469]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138033]","[80tcp00S0, 1024550]","[8080tcp00S0, 113825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 730]","[53udp1560S0, 365]","[18344tcp00RSTOS0, 262]","[10icmp800OTH, 208]","[123udp960S0, 174]","[17576tcp00RSTOS0, 174]","[17832tcp00RSTOS0, 129]","[0icmp560OTH, 93]","[80tcp00RSTRH, 88]","[80tcp00RSTO, 82]","[1icmp800OTH, 68]","[0icmp800OTH, 63]","[13icmp560OTH, 43]","[0icmp1360OTH, 24]","[1icmp560OTH, 23]","[53udp780S0, 19]","[53udp78206SF, 15]","[1icmp880OTH, 15]","[3icmp800OTH, 14]","[17576tcp00REJ, 12]","[8080tcp00RSTRH, 9]","[53udp156206SF, 8]","[8080tcp00RSTO, 5]","[13icmp840OTH, 3]","[53udp7878SF, 2]","[53udp78188SF, 2]","[18344tcp00REJ, 2]","[17832tcp00REJ, 2]","[0icmp880OTH, 2]","[3icmp1600OTH, 1]","[0icmp2800OTH, 1]","[0icmp1600OTH, 1]","[123udp1920S0, 1]","[13icmp800OTH, 1]","[1icmp1360OTH, 1]","[49012tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 572]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138311]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138830]","[80tcp00S0, 1024390]","[8080tcp00S0, 113807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 784]","[53udp1560S0, 391]","[18344tcp00RSTOS0, 211]","[17576tcp00RSTOS0, 193]","[10icmp800OTH, 182]","[123udp960S0, 156]","[17832tcp00RSTOS0, 123]","[0icmp560OTH, 98]","[80tcp00RSTRH, 90]","[0icmp800OTH, 84]","[80tcp00RSTO, 82]","[1icmp800OTH, 67]","[13icmp560OTH, 39]","[3icmp800OTH, 22]","[1icmp560OTH, 21]","[53udp780S0, 14]","[1icmp880OTH, 14]","[0icmp1360OTH, 10]","[8080tcp00RSTRH, 10]","[17576tcp00REJ, 9]","[53udp78206SF, 8]","[53udp156206SF, 6]","[0icmp880OTH, 6]","[13icmp840OTH, 6]","[17832tcp00REJ, 4]","[13icmp1360OTH, 4]","[8080tcp00RSTO, 3]","[1icmp1360OTH, 3]","[13icmp800OTH, 2]","[39680tcp00REJ, 1]","[123udp9696SF, 1]","[49306tcp00RSTOS0, 1]","[44524tcp00REJ, 1]","[0icmp2880OTH, 1]","[3icmp880OTH, 1]","[0icmp2800OTH, 1]","[3icmp1600OTH, 1]","[0icmp1760OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138319]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138633]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138666]","[80tcp00S0, 1024672]","[8080tcp00S0, 113842]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 744]","[53udp1560S0, 373]","[18344tcp00RSTOS0, 233]","[123udp960S0, 173]","[10icmp800OTH, 163]","[17576tcp00RSTOS0, 151]","[17832tcp00RSTOS0, 110]","[80tcp00RSTRH, 110]","[0icmp560OTH, 92]","[80tcp00RSTO, 90]","[1icmp800OTH, 79]","[0icmp800OTH, 76]","[13icmp560OTH, 42]","[1icmp560OTH, 30]","[53udp780S0, 22]","[3icmp800OTH, 22]","[53udp78206SF, 20]","[1icmp880OTH, 18]","[8080tcp00RSTRH, 18]","[0icmp1360OTH, 17]","[17576tcp00REJ, 11]","[8080tcp00RSTO, 3]","[0icmp880OTH, 3]","[13icmp800OTH, 3]","[123udp9696SF, 2]","[53udp156206SF, 2]","[13icmp840OTH, 2]","[123udp57696SF, 2]","[0icmp920OTH, 1]","[1icmp1200OTH, 1]","[0icmp2800OTH, 1]","[0icmp1120OTH, 1]","[80tcp00REJ, 1]","[18344tcp00REJ, 1]","[50628tcp00RSTOS0, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 573]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1138459]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1138449]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1138331]","[80tcp00S0, 1024854]","[8080tcp00S0, 113855]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 584]","[53udp1560S0, 292]","[18344tcp00RSTOS0, 196]","[17576tcp00RSTOS0, 176]","[123udp960S0, 162]","[10icmp800OTH, 159]","[17832tcp00RSTOS0, 125]","[80tcp00RSTRH, 84]","[1icmp800OTH, 78]","[0icmp560OTH, 76]","[80tcp00RSTO, 75]","[0icmp800OTH, 56]","[13icmp560OTH, 33]","[53udp780S0, 24]","[53udp78206SF, 22]","[0icmp1360OTH, 18]","[1icmp560OTH, 16]","[3icmp800OTH, 15]","[17576tcp00REJ, 12]","[8080tcp00RSTRH, 11]","[1icmp880OTH, 7]","[13icmp800OTH, 5]","[17832tcp00REJ, 4]","[0icmp880OTH, 3]","[53udp156206SF, 3]","[0icmp2800OTH, 3]","[13icmp840OTH, 3]","[18344tcp00REJ, 2]","[8080tcp00RSTO, 1]","[3icmp1600OTH, 1]","[80tcp00REJ, 1]","[123udp9696SF, 1]","[123udp1920S0, 1]","[0icmp1120OTH, 1]","[53udp78302SF, 1]","[1icmp1360OTH, 1]","[51384tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 493]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 979107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 978635]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 978998]","[80tcp00S0, 881104]","[8080tcp00S0, 97884]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
