Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47,Fs48,Fs49,Fs50,Fs51,Fs52,Fs53,Fs54,Fs55,Fs56,Fs57,Fs58,Fs59,Fs60,Fs61,Fs62,Fs63,Fs64,Fs65,Fs66,Fs67,Fs68,Fs69,Fs70,Fs71,Fs72,Fs73,Fs74
Okiru,"[37215tcp00S0, 2276500]","[37215tcp00REJ, 113]","[37215tcp00RSTO, 11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 2276583]","[80tcp00S0, 2048986]","[8080tcp00S0, 227625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 1566]","[53udp1560S0, 786]","[18344tcp00RSTOS0, 540]","[17576tcp00RSTOS0, 396]","[10icmp800OTH, 370]","[17832tcp00RSTOS0, 288]","[123udp960S0, 281]","[80tcp00RSTRH, 207]","[0icmp560OTH, 193]","[80tcp00RSTO, 181]","[1icmp800OTH, 181]","[0icmp800OTH, 147]","[13icmp560OTH, 109]","[1icmp560OTH, 49]","[0icmp1360OTH, 40]","[1icmp880OTH, 34]","[3icmp800OTH, 34]","[8080tcp00RSTRH, 30]","[53udp780S0, 28]","[17576tcp00REJ, 25]","[53udp78206SF, 20]","[8080tcp00RSTO, 8]","[53udp156206SF, 8]","[13icmp840OTH, 7]","[17832tcp00REJ, 6]","[1icmp1360OTH, 4]","[53udp1800S0, 4]","[0icmp2800OTH, 4]","[0icmp1600OTH, 3]","[13icmp800OTH, 3]","[123udp384288SF, 3]","[123udp1056960SF, 2]","[123udp672576SF, 2]","[3icmp560OTH, 2]","[123udp22082112SF, 1]","[123udp768672SF, 1]","[3icmp3200OTH, 1]","[123udp576480SF, 1]","[123udp19201824SF, 1]","[44820tcp00RSTOS0, 1]","[123udp1920S0, 1]","[123udp14401344SF, 1]","[0icmp920OTH, 1]","[45314tcp00RSTOS0, 1]","[45396tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[0icmp840OTH, 1]","[123udp576192SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 1147]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 2276621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 2276771]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 2276852]","[80tcp00S0, 2048809]","[8080tcp00S0, 227615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 1427]","[53udp1560S0, 724]","[18344tcp00RSTOS0, 537]","[123udp960S0, 379]","[10icmp800OTH, 373]","[17576tcp00RSTOS0, 366]","[17832tcp00RSTOS0, 236]","[80tcp00RSTRH, 202]","[0icmp560OTH, 197]","[1icmp800OTH, 167]","[80tcp00RSTO, 144]","[0icmp800OTH, 123]","[13icmp560OTH, 97]","[1icmp560OTH, 53]","[53udp780S0, 47]","[0icmp1360OTH, 39]","[53udp78206SF, 37]","[8080tcp00RSTRH, 35]","[17576tcp00REJ, 33]","[3icmp800OTH, 27]","[1icmp880OTH, 18]","[53udp1800S0, 10]","[53udp156206SF, 10]","[8080tcp00RSTO, 9]","[17832tcp00REJ, 7]","[0icmp2800OTH, 6]","[13icmp1360OTH, 6]","[13icmp800OTH, 6]","[0icmp1120OTH, 3]","[13icmp840OTH, 3]","[18344tcp00REJ, 3]","[0icmp1600OTH, 3]","[123udp57696SF, 2]","[1icmp1360OTH, 2]","[3icmp880OTH, 2]","[45990tcp00RSTOS0, 1]","[53udp18090SF, 1]","[0icmp2880OTH, 1]","[0icmp920OTH, 1]","[53484tcp00REJ, 1]","[56420tcp00REJ, 1]","[13icmp920OTH, 1]","[1icmp1120OTH, 1]","[123udp67296SF, 1]","[123udp19296SF, 1]","[0icmp880OTH, 1]","[47292tcp00RSTOS0, 1]","[3icmp1600OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 1147]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 2276453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 2276616]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 2276872]","[80tcp00S0, 2048728]","[8080tcp00S0, 227624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 1474]","[53udp1560S0, 738]","[18344tcp00RSTOS0, 505]","[10icmp800OTH, 423]","[17576tcp00RSTOS0, 398]","[123udp960S0, 343]","[17832tcp00RSTOS0, 268]","[80tcp00RSTRH, 200]","[0icmp560OTH, 182]","[80tcp00RSTO, 176]","[1icmp800OTH, 153]","[0icmp800OTH, 147]","[13icmp560OTH, 91]","[1icmp560OTH, 52]","[0icmp1360OTH, 49]","[53udp780S0, 39]","[3icmp800OTH, 34]","[53udp78206SF, 33]","[1icmp880OTH, 30]","[8080tcp00RSTRH, 29]","[17576tcp00REJ, 22]","[17832tcp00REJ, 11]","[53udp156206SF, 10]","[8080tcp00RSTO, 9]","[13icmp840OTH, 6]","[0icmp880OTH, 3]","[18344tcp00REJ, 3]","[53udp78188SF, 2]","[0icmp2800OTH, 2]","[123udp1920S0, 2]","[13icmp1360OTH, 2]","[53udp7878SF, 2]","[13icmp800OTH, 2]","[47508tcp00RSTOS0, 1]","[2icmp560OTH, 1]","[13icmp920OTH, 1]","[0icmp2720OTH, 1]","[0icmp920OTH, 1]","[48252tcp00RSTOS0, 1]","[3icmp1600OTH, 1]","[0icmp1600OTH, 1]","[1icmp1360OTH, 1]","[49012tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 1144]","[666tcp00REJ, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 2276465]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 2276780]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 2276863]","[80tcp00S0, 2048940]","[8080tcp00S0, 227632]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 1528]","[53udp1560S0, 764]","[18344tcp00RSTOS0, 444]","[10icmp800OTH, 345]","[17576tcp00RSTOS0, 344]","[123udp960S0, 329]","[17832tcp00RSTOS0, 233]","[80tcp00RSTRH, 200]","[0icmp560OTH, 190]","[80tcp00RSTO, 172]","[0icmp800OTH, 160]","[1icmp800OTH, 146]","[13icmp560OTH, 81]","[1icmp560OTH, 51]","[3icmp800OTH, 44]","[53udp780S0, 36]","[1icmp880OTH, 32]","[53udp78206SF, 28]","[8080tcp00RSTRH, 28]","[0icmp1360OTH, 27]","[17576tcp00REJ, 20]","[0icmp880OTH, 9]","[13icmp840OTH, 8]","[53udp156206SF, 8]","[8080tcp00RSTO, 6]","[13icmp800OTH, 5]","[1icmp1360OTH, 4]","[17832tcp00REJ, 4]","[13icmp1360OTH, 4]","[123udp9696SF, 3]","[0icmp2800OTH, 2]","[123udp57696SF, 2]","[39680tcp00REJ, 1]","[49306tcp00RSTOS0, 1]","[3icmp880OTH, 1]","[0icmp2880OTH, 1]","[44524tcp00REJ, 1]","[3icmp1600OTH, 1]","[0icmp1760OTH, 1]","[0icmp920OTH, 1]","[1icmp1200OTH, 1]","[0icmp1120OTH, 1]","[80tcp00REJ, 1]","[18344tcp00REJ, 1]","[50628tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 1148]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 2276778]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 2277082]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 2276997]","[80tcp00S0, 2049526]","[8080tcp00S0, 227697]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 584]","[53udp1560S0, 292]","[18344tcp00RSTOS0, 196]","[17576tcp00RSTOS0, 176]","[123udp960S0, 162]","[10icmp800OTH, 159]","[17832tcp00RSTOS0, 125]","[80tcp00RSTRH, 84]","[1icmp800OTH, 78]","[0icmp560OTH, 76]","[80tcp00RSTO, 75]","[0icmp800OTH, 56]","[13icmp560OTH, 33]","[53udp780S0, 24]","[53udp78206SF, 22]","[0icmp1360OTH, 18]","[1icmp560OTH, 16]","[3icmp800OTH, 15]","[17576tcp00REJ, 12]","[8080tcp00RSTRH, 11]","[1icmp880OTH, 7]","[13icmp800OTH, 5]","[17832tcp00REJ, 4]","[0icmp880OTH, 3]","[53udp156206SF, 3]","[0icmp2800OTH, 3]","[13icmp840OTH, 3]","[18344tcp00REJ, 2]","[8080tcp00RSTO, 1]","[3icmp1600OTH, 1]","[80tcp00REJ, 1]","[123udp9696SF, 1]","[123udp1920S0, 1]","[0icmp1120OTH, 1]","[53udp78302SF, 1]","[1icmp1360OTH, 1]","[51384tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 493]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 979107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 978635]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 978998]","[80tcp00S0, 881104]","[8080tcp00S0, 97884]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
