Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47
Attack,"[8080tcp00RSTO, 3]","[8080tcp2010S2, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 183]","[10icmp800OTH, 168]","[123udp9696SF, 115]","[0icmp560OTH, 94]","[80tcp00REJ, 82]","[1icmp800OTH, 79]","[8080tcp00REJ, 66]","[0icmp800OTH, 59]","[13icmp560OTH, 46]","[80tcp00RSTO, 42]","[1icmp560OTH, 22]","[3icmp800OTH, 20]","[0icmp1360OTH, 20]","[123udp960S0, 15]","[8081tcp00RSTO, 14]","[1icmp880OTH, 10]","[8080tcp00RSTO, 7]","[17576tcp00REJ, 6]","[13icmp840OTH, 3]","[13icmp800OTH, 2]","[8081tcp7820S2, 2]","[0icmp2800OTH, 2]","[0icmp880OTH, 2]","[13icmp1360OTH, 1]","[0icmp1600OTH, 1]","[13icmp880OTH, 1]","[3icmp560OTH, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 209]","[666tcp00REJ, 59]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569158]","[52869tcp00REJ, 224]","[52869tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 568815]","[37215tcp00REJ, 96]","[37215tcp00RSTO, 7]","[37215tcp821568SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569390]","[80tcp00S0, 512217]","[8080tcp00S0, 56862]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan-Attack,"[8080tcp00S0, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 156]","[123udp9696SF, 116]","[8081tcp00REJ, 101]","[0icmp560OTH, 71]","[80tcp00RSTO, 67]","[1icmp800OTH, 65]","[80tcp00REJ, 60]","[0icmp800OTH, 55]","[123udp960S0, 38]","[8080tcp00REJ, 30]","[18344tcp00RSTOS0, 30]","[13icmp560OTH, 25]","[17832tcp00RSTOS0, 23]","[0icmp1360OTH, 18]","[1icmp560OTH, 17]","[80tcp00RSTRH, 15]","[3icmp800OTH, 14]","[1icmp880OTH, 11]","[8081tcp00RSTO, 11]","[17576tcp00RSTOS0, 10]","[8080tcp00RSTO, 7]","[13icmp840OTH, 5]","[1icmp1360OTH, 2]","[13icmp920OTH, 2]","[8080tcp00RSTRH, 2]","[17576tcp00REJ, 2]","[13icmp800OTH, 2]","[8080tcp2010S2, 1]","[80tcp201351SF, 1]","[13icmp880OTH, 1]","[0icmp2720OTH, 1]","[123udp576576SF, 1]","[3icmp560OTH, 1]","[5355udp45225SF, 1]","[3icmp880OTH, 1]","[0icmp2800OTH, 1]","[123udp672576SF, 1]","[13icmp1360OTH, 1]","[123udp11521056SF, 1]","[123udp384288SF, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 248]","[666tcp00REJ, 30]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569023]","[52869tcp00REJ, 191]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 568959]","[37215tcp00REJ, 113]","[37215tcp00RSTO, 11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569298]","[80tcp00S0, 512228]","[8080tcp00S0, 56894]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp1560S0, 154]","[53udp9090SF, 139]","[53udp900S0, 139]","[18344tcp00RSTOS0, 115]","[10icmp800OTH, 104]","[123udp960S0, 93]","[17576tcp00RSTOS0, 84]","[17832tcp00RSTOS0, 75]","[80tcp00RSTRH, 74]","[0icmp560OTH, 60]","[1icmp800OTH, 53]","[80tcp00RSTO, 51]","[0icmp800OTH, 33]","[13icmp560OTH, 24]","[8080tcp00RSTRH, 20]","[53udp1800S0, 16]","[0icmp1360OTH, 16]","[1icmp880OTH, 12]","[53udp780S0, 10]","[1icmp560OTH, 10]","[53udp78206SF, 7]","[0icmp880OTH, 5]","[17576tcp00REJ, 4]","[3icmp800OTH, 4]","[0icmp2800OTH, 3]","[53udp156206SF, 3]","[8080tcp00RSTO, 3]","[123udp1920S0, 3]","[123udp672576SF, 2]","[123udp864768SF, 2]","[123udp384288SF, 2]","[123udp9696SF, 1]","[5353udp16500S0, 1]","[2icmp560OTH, 1]","[53udp360180SF, 1]","[53udp3120S0, 1]","[123udp23042208SF, 1]","[123udp18241728SF, 1]","[0icmp1600OTH, 1]","[17832tcp00REJ, 1]","[3icmp880OTH, 1]","[123udp288192SF, 1]","[123udp11521056SF, 1]","[123udp480384SF, 1]","[18344tcp00REJ, 1]","[43406tcp00RSTOS0, 1]","[123udp17281632SF, 1]"
C&C-HeartBeat,"[666tcp00S0, 287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569068]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569084]","[80tcp00S0, 512337]","[8080tcp00S0, 56921]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 267]","[53udp1560S0, 183]","[18344tcp00RSTOS0, 125]","[10icmp800OTH, 109]","[17576tcp00RSTOS0, 98]","[53udp900S0, 95]","[123udp960S0, 71]","[17832tcp00RSTOS0, 63]","[0icmp560OTH, 53]","[80tcp00RSTRH, 52]","[80tcp00RSTO, 43]","[0icmp800OTH, 38]","[1icmp800OTH, 38]","[1icmp560OTH, 19]","[17576tcp00REJ, 10]","[13icmp560OTH, 10]","[53udp780S0, 9]","[0icmp1360OTH, 9]","[8080tcp00RSTRH, 9]","[53udp78206SF, 8]","[3icmp800OTH, 5]","[1icmp880OTH, 4]","[53udp156206SF, 3]","[17832tcp00REJ, 3]","[8080tcp00RSTO, 2]","[0icmp880OTH, 2]","[123udp12481152SF, 2]","[13icmp840OTH, 2]","[123udp19201824SF, 2]","[123udp384288SF, 2]","[53udp90240SF, 2]","[53udp7878SF, 2]","[123udp480384SF, 1]","[123udp768672SF, 1]","[10icmp880OTH, 1]","[0icmp1600OTH, 1]","[123udp288192SF, 1]","[13icmp1360OTH, 1]","[123udp24962400SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 285]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569398]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 568915]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569262]","[80tcp00S0, 512134]","[8080tcp00S0, 56898]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 390]","[53udp1560S0, 195]","[18344tcp00RSTOS0, 129]","[10icmp800OTH, 91]","[17576tcp00RSTOS0, 74]","[123udp960S0, 64]","[17832tcp00RSTOS0, 62]","[80tcp00RSTRH, 55]","[80tcp00RSTO, 48]","[0icmp560OTH, 47]","[1icmp800OTH, 43]","[0icmp800OTH, 30]","[13icmp560OTH, 22]","[3icmp800OTH, 14]","[17576tcp00REJ, 11]","[53udp780S0, 9]","[0icmp1360OTH, 8]","[1icmp880OTH, 7]","[8080tcp00RSTRH, 7]","[1icmp560OTH, 6]","[53udp156206SF, 6]","[13icmp840OTH, 4]","[53udp78206SF, 3]","[123udp672576SF, 3]","[8080tcp00RSTO, 2]","[80tcp00REJ, 1]","[50914tcp00REJ, 1]","[18344tcp00REJ, 1]","[123udp13441248SF, 1]","[123udp288192SF, 1]","[123udp16321536SF, 1]","[13icmp1360OTH, 1]","[123udp1920S0, 1]","[123udp384288SF, 1]","[0icmp880OTH, 1]","[17832tcp00REJ, 1]","[3icmp1600OTH, 1]","[123udp12481152SF, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 286]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 568939]","[80tcp00S0, 512287]","[8080tcp00S0, 56912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 420]","[53udp1560S0, 209]","[18344tcp00RSTOS0, 157]","[10icmp800OTH, 87]","[17576tcp00RSTOS0, 84]","[17832tcp00RSTOS0, 55]","[123udp960S0, 55]","[80tcp00RSTRH, 55]","[80tcp00RSTO, 46]","[0icmp560OTH, 45]","[1icmp800OTH, 45]","[0icmp800OTH, 42]","[13icmp560OTH, 30]","[1icmp560OTH, 17]","[1icmp880OTH, 11]","[3icmp800OTH, 11]","[0icmp1360OTH, 11]","[17576tcp00REJ, 11]","[8080tcp00RSTRH, 7]","[53udp78206SF, 4]","[53udp780S0, 4]","[8080tcp00RSTO, 3]","[13icmp840OTH, 2]","[0icmp2800OTH, 2]","[17832tcp00REJ, 2]","[0icmp1600OTH, 1]","[123udp672576SF, 1]","[123udp768672SF, 1]","[13icmp800OTH, 1]","[123udp22082112SF, 1]","[123udp1056960SF, 1]","[123udp384288SF, 1]",,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 287]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 568916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569263]","[80tcp00S0, 512278]","[8080tcp00S0, 56916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 358]","[53udp1560S0, 183]","[18344tcp00RSTOS0, 107]","[10icmp800OTH, 100]","[17576tcp00RSTOS0, 93]","[17832tcp00RSTOS0, 79]","[123udp960S0, 76]","[80tcp00RSTRH, 70]","[0icmp560OTH, 51]","[80tcp00RSTO, 51]","[0icmp800OTH, 42]","[1icmp800OTH, 41]","[13icmp560OTH, 33]","[0icmp1360OTH, 12]","[1icmp560OTH, 11]","[53udp780S0, 11]","[3icmp800OTH, 9]","[8080tcp00RSTRH, 8]","[53udp78206SF, 8]","[1icmp880OTH, 7]","[17576tcp00REJ, 5]","[53udp1800S0, 4]","[53udp156206SF, 3]","[123udp384288SF, 2]","[8080tcp00RSTO, 2]","[13icmp840OTH, 2]","[123udp1056960SF, 1]","[123udp19201824SF, 1]","[0icmp2800OTH, 1]","[44820tcp00RSTOS0, 1]","[3icmp3200OTH, 1]","[123udp576480SF, 1]","[123udp14401344SF, 1]","[17832tcp00REJ, 1]","[123udp1920S0, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569398]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569212]","[80tcp00S0, 511865]","[8080tcp00S0, 56863]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 364]","[53udp1560S0, 183]","[18344tcp00RSTOS0, 163]","[10icmp800OTH, 100]","[17576tcp00RSTOS0, 93]","[123udp960S0, 90]","[17832tcp00RSTOS0, 77]","[1icmp800OTH, 52]","[0icmp560OTH, 44]","[80tcp00RSTO, 41]","[0icmp800OTH, 35]","[80tcp00RSTRH, 35]","[13icmp560OTH, 18]","[1icmp560OTH, 13]","[53udp780S0, 10]","[0icmp1360OTH, 9]","[3icmp800OTH, 7]","[1icmp880OTH, 6]","[53udp78206SF, 6]","[17576tcp00REJ, 5]","[53udp156206SF, 4]","[8080tcp00RSTRH, 4]","[13icmp840OTH, 3]","[17832tcp00REJ, 2]","[8080tcp00RSTO, 2]","[0icmp1600OTH, 2]","[123udp672576SF, 1]","[0icmp920OTH, 1]","[1icmp1120OTH, 1]","[45314tcp00RSTOS0, 1]","[45396tcp00RSTOS0, 1]","[0icmp2800OTH, 1]","[13icmp800OTH, 1]","[0icmp840OTH, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 285]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569135]","[80tcp00S0, 512400]","[8080tcp00S0, 56930]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 424]","[53udp1560S0, 211]","[17576tcp00RSTOS0, 126]","[18344tcp00RSTOS0, 113]","[10icmp800OTH, 83]","[17832tcp00RSTOS0, 77]","[123udp960S0, 60]","[0icmp560OTH, 53]","[80tcp00RSTRH, 47]","[1icmp800OTH, 43]","[80tcp00RSTO, 43]","[0icmp800OTH, 28]","[13icmp560OTH, 28]","[8080tcp00RSTRH, 11]","[1icmp880OTH, 10]","[1icmp560OTH, 8]","[0icmp1360OTH, 8]","[3icmp800OTH, 7]","[1icmp1360OTH, 4]","[17576tcp00REJ, 4]","[53udp780S0, 3]","[53udp78206SF, 2]","[3icmp560OTH, 2]","[17832tcp00REJ, 1]","[53udp156206SF, 1]","[13icmp800OTH, 1]","[123udp576192SF, 1]","[8080tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569242]","[80tcp00S0, 512266]","[8080tcp00S0, 56906]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 357]","[53udp1560S0, 190]","[18344tcp00RSTOS0, 142]","[10icmp800OTH, 106]","[17576tcp00RSTOS0, 96]","[123udp960S0, 84]","[17832tcp00RSTOS0, 63]","[80tcp00RSTRH, 52]","[1icmp800OTH, 40]","[0icmp560OTH, 39]","[80tcp00RSTO, 37]","[0icmp800OTH, 32]","[13icmp560OTH, 22]","[1icmp560OTH, 14]","[0icmp1360OTH, 14]","[53udp1800S0, 10]","[53udp780S0, 9]","[17576tcp00REJ, 9]","[53udp78206SF, 7]","[8080tcp00RSTRH, 6]","[1icmp880OTH, 5]","[3icmp800OTH, 3]","[8080tcp00RSTO, 3]","[0icmp2800OTH, 2]","[17832tcp00REJ, 2]","[53udp156206SF, 2]","[0icmp920OTH, 1]","[45990tcp00RSTOS0, 1]","[0icmp2880OTH, 1]","[53udp18090SF, 1]","[0icmp1600OTH, 1]","[18344tcp00REJ, 1]","[13icmp800OTH, 1]","[53484tcp00REJ, 1]","[13icmp840OTH, 1]","[13icmp1360OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569106]","[80tcp00S0, 512121]","[8080tcp00S0, 56902]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 400]","[53udp1560S0, 199]","[18344tcp00RSTOS0, 114]","[10icmp800OTH, 100]","[17576tcp00RSTOS0, 77]","[123udp960S0, 75]","[17832tcp00RSTOS0, 71]","[80tcp00RSTRH, 59]","[0icmp560OTH, 50]","[80tcp00RSTO, 48]","[1icmp800OTH, 41]","[0icmp800OTH, 26]","[13icmp560OTH, 23]","[1icmp560OTH, 13]","[8080tcp00RSTRH, 10]","[0icmp1360OTH, 9]","[3icmp800OTH, 7]","[53udp780S0, 7]","[17576tcp00REJ, 7]","[53udp78206SF, 6]","[8080tcp00RSTO, 5]","[17832tcp00REJ, 4]","[1icmp880OTH, 4]","[13icmp1360OTH, 2]","[3icmp880OTH, 2]","[0icmp2800OTH, 1]","[18344tcp00REJ, 1]","[1icmp1360OTH, 1]","[13icmp840OTH, 1]","[13icmp920OTH, 1]","[56420tcp00REJ, 1]","[53udp156206SF, 1]",,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 568905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569414]","[80tcp00S0, 512274]","[8080tcp00S0, 56918]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 326]","[53udp1560S0, 163]","[18344tcp00RSTOS0, 130]","[123udp960S0, 113]","[17576tcp00RSTOS0, 88]","[10icmp800OTH, 85]","[17832tcp00RSTOS0, 61]","[0icmp560OTH, 51]","[1icmp800OTH, 47]","[80tcp00RSTRH, 43]","[80tcp00RSTO, 34]","[0icmp800OTH, 30]","[13icmp560OTH, 28]","[53udp780S0, 17]","[1icmp560OTH, 15]","[53udp78206SF, 13]","[8080tcp00RSTRH, 9]","[17576tcp00REJ, 7]","[0icmp1360OTH, 6]","[3icmp800OTH, 5]","[53udp156206SF, 4]","[1icmp880OTH, 4]","[13icmp800OTH, 3]","[13icmp1360OTH, 3]","[123udp57696SF, 2]","[0icmp1600OTH, 2]","[0icmp1120OTH, 1]","[17832tcp00REJ, 1]","[1icmp1360OTH, 1]","[1icmp1120OTH, 1]","[8080tcp00RSTO, 1]","[123udp67296SF, 1]","[0icmp2800OTH, 1]",,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569094]","[80tcp00S0, 512399]","[8080tcp00S0, 56926]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 344]","[53udp1560S0, 172]","[18344tcp00RSTOS0, 151]","[123udp960S0, 107]","[17576tcp00RSTOS0, 105]","[10icmp800OTH, 82]","[0icmp560OTH, 57]","[80tcp00RSTRH, 48]","[17832tcp00RSTOS0, 41]","[1icmp800OTH, 39]","[0icmp800OTH, 35]","[80tcp00RSTO, 25]","[13icmp560OTH, 24]","[53udp780S0, 14]","[3icmp800OTH, 12]","[1icmp560OTH, 11]","[53udp78206SF, 11]","[17576tcp00REJ, 10]","[8080tcp00RSTRH, 10]","[0icmp1360OTH, 10]","[1icmp880OTH, 5]","[53udp156206SF, 3]","[13icmp800OTH, 2]","[0icmp1120OTH, 2]","[0icmp2800OTH, 2]","[0icmp880OTH, 1]","[123udp19296SF, 1]","[47292tcp00RSTOS0, 1]","[3icmp1600OTH, 1]","[18344tcp00REJ, 1]","[13icmp840OTH, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 284]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569237]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569258]","[80tcp00S0, 511934]","[8080tcp00S0, 56878]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 350]","[53udp1560S0, 176]","[17576tcp00RSTOS0, 135]","[18344tcp00RSTOS0, 131]","[10icmp800OTH, 110]","[123udp960S0, 94]","[17832tcp00RSTOS0, 73]","[80tcp00RSTRH, 54]","[0icmp800OTH, 53]","[0icmp560OTH, 47]","[80tcp00RSTO, 46]","[1icmp800OTH, 33]","[13icmp560OTH, 23]","[1icmp560OTH, 16]","[53udp780S0, 13]","[53udp78206SF, 12]","[0icmp1360OTH, 12]","[8080tcp00RSTRH, 11]","[3icmp800OTH, 10]","[17576tcp00REJ, 9]","[1icmp880OTH, 5]","[17832tcp00REJ, 3]","[8080tcp00RSTO, 3]","[13icmp840OTH, 2]","[47508tcp00RSTOS0, 1]","[18344tcp00REJ, 1]","[2icmp560OTH, 1]","[53udp156206SF, 1]","[13icmp1360OTH, 1]","[0icmp2720OTH, 1]",,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 568945]","[80tcp00S0, 512267]","[8080tcp00S0, 56915]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
