Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32
PortScan,"[8081tcp00S0, 142183]","[80tcp00S0, 128138]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack,"[8080tcp00RSTO, 3]","[8080tcp2010S2, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 43]","[10icmp800OTH, 38]","[123udp9696SF, 30]","[0icmp560OTH, 24]","[8080tcp00REJ, 21]","[80tcp00REJ, 21]","[1icmp800OTH, 18]","[0icmp800OTH, 15]","[13icmp560OTH, 14]","[80tcp00RSTO, 9]","[123udp960S0, 5]","[0icmp1360OTH, 5]","[17576tcp00REJ, 4]","[3icmp800OTH, 4]","[8081tcp00RSTO, 3]","[1icmp880OTH, 3]","[13icmp800OTH, 2]","[8080tcp00RSTO, 2]","[8081tcp7820S2, 1]","[1icmp560OTH, 1]","[13icmp840OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 56]","[666tcp00REJ, 13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142331]","[52869tcp00REJ, 58]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142205]","[37215tcp00REJ, 25]","[37215tcp00RSTO, 1]","[37215tcp821568SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142356]","[80tcp00S0, 128009]","[8080tcp00S0, 14204]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan-Attack,"[8080tcp00S0, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 55]","[8081tcp00REJ, 34]","[123udp9696SF, 30]","[80tcp00REJ, 23]","[0icmp560OTH, 22]","[1icmp800OTH, 18]","[0icmp800OTH, 14]","[8080tcp00REJ, 11]","[1icmp560OTH, 9]","[80tcp00RSTO, 8]","[13icmp560OTH, 8]","[3icmp800OTH, 7]","[0icmp1360OTH, 5]","[8081tcp00RSTO, 5]","[1icmp880OTH, 3]","[123udp960S0, 3]","[17576tcp00REJ, 2]","[0icmp2800OTH, 2]","[13icmp1360OTH, 1]","[8081tcp7820S2, 1]","[8080tcp00RSTO, 1]","[0icmp1600OTH, 1]","[13icmp880OTH, 1]","[0icmp880OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 52]","[666tcp00REJ, 15]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142307]","[52869tcp00REJ, 83]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142202]","[37215tcp00REJ, 25]","[37215tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142523]","[80tcp00S0, 128095]","[8080tcp00S0, 14226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 70]","[10icmp800OTH, 30]","[123udp9696SF, 28]","[0icmp560OTH, 25]","[80tcp00REJ, 19]","[1icmp800OTH, 19]","[13icmp560OTH, 12]","[80tcp00RSTO, 12]","[0icmp800OTH, 11]","[1icmp560OTH, 6]","[8080tcp00REJ, 6]","[0icmp1360OTH, 4]","[3icmp800OTH, 4]","[8081tcp00RSTO, 3]","[123udp960S0, 3]","[8080tcp00RSTO, 3]","[13icmp840OTH, 1]","[1icmp880OTH, 1]","[3icmp560OTH, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 48]","[666tcp00REJ, 17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142194]","[52869tcp00REJ, 34]","[52869tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142212]","[37215tcp00REJ, 22]","[37215tcp00RSTO, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142167]","[80tcp00S0, 128129]","[8080tcp00S0, 14238]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 45]","[8081tcp00REJ, 36]","[8080tcp00REJ, 28]","[123udp9696SF, 27]","[1icmp800OTH, 24]","[0icmp560OTH, 23]","[0icmp800OTH, 19]","[80tcp00REJ, 19]","[80tcp00RSTO, 13]","[13icmp560OTH, 12]","[1icmp560OTH, 6]","[0icmp1360OTH, 6]","[3icmp800OTH, 5]","[123udp960S0, 4]","[8081tcp00RSTO, 3]","[1icmp880OTH, 3]","[13icmp840OTH, 1]","[8080tcp00RSTO, 1]","[1icmp1360OTH, 1]","[0icmp880OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 53]","[666tcp00REJ, 14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142326]","[52869tcp00REJ, 49]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142196]","[37215tcp00REJ, 24]","[37215tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142344]","[80tcp00S0, 127984]","[8080tcp00S0, 14194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 45]","[10icmp800OTH, 38]","[123udp9696SF, 28]","[1icmp800OTH, 27]","[0icmp560OTH, 26]","[80tcp00REJ, 15]","[0icmp800OTH, 14]","[80tcp00RSTO, 13]","[8080tcp00REJ, 11]","[13icmp560OTH, 6]","[0icmp1360OTH, 6]","[8080tcp00RSTO, 6]","[8081tcp00RSTO, 6]","[1icmp880OTH, 5]","[3icmp800OTH, 5]","[1icmp560OTH, 4]","[123udp960S0, 3]","[13icmp840OTH, 3]","[17576tcp00REJ, 2]","[13icmp920OTH, 1]","[1icmp1360OTH, 1]","[13icmp800OTH, 1]","[8080tcp2010S2, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 55]","[666tcp00REJ, 13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142321]","[52869tcp00REJ, 62]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142195]","[37215tcp00REJ, 30]","[37215tcp00RSTO, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142350]","[80tcp00S0, 127993]","[8080tcp00S0, 14216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 44]","[123udp9696SF, 30]","[8081tcp00REJ, 24]","[80tcp00REJ, 22]","[0icmp800OTH, 21]","[80tcp00RSTO, 20]","[1icmp800OTH, 17]","[0icmp560OTH, 15]","[8080tcp00REJ, 9]","[13icmp560OTH, 7]","[3icmp800OTH, 6]","[123udp960S0, 5]","[0icmp1360OTH, 4]","[1icmp560OTH, 3]","[1icmp880OTH, 3]","[8081tcp00RSTO, 2]","[80tcp201351SF, 1]","[8080tcp00RSTO, 1]","[1icmp1360OTH, 1]","[13icmp880OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 62]","[666tcp00REJ, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142157]","[52869tcp00REJ, 74]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142048]","[37215tcp00REJ, 21]","[37215tcp00RSTO, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142367]","[80tcp00S0, 128270]","[8080tcp00S0, 14246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 50]","[123udp9696SF, 41]","[8081tcp00REJ, 26]","[80tcp00REJ, 19]","[0icmp560OTH, 18]","[80tcp00RSTO, 14]","[123udp960S0, 12]","[8080tcp00REJ, 10]","[1icmp800OTH, 10]","[13icmp560OTH, 9]","[0icmp800OTH, 9]","[1icmp560OTH, 5]","[0icmp1360OTH, 4]","[8081tcp00RSTO, 3]","[0icmp2720OTH, 1]","[13icmp920OTH, 1]","[13icmp800OTH, 1]","[3icmp800OTH, 1]","[17832tcp00RSTOS0, 1]","[123udp576576SF, 1]","[0icmp2800OTH, 1]","[3icmp880OTH, 1]","[13icmp840OTH, 1]","[1icmp880OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 62]","[666tcp00REJ, 8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142339]","[52869tcp00REJ, 38]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142343]","[37215tcp00REJ, 46]","[37215tcp00RSTO, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142360]","[80tcp00S0, 127985]","[8080tcp00S0, 14213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[18344tcp00RSTOS0, 30]","[10icmp800OTH, 24]","[17832tcp00RSTOS0, 22]","[80tcp00RSTO, 20]","[123udp960S0, 18]","[123udp9696SF, 17]","[80tcp00RSTRH, 15]","[0icmp560OTH, 12]","[0icmp800OTH, 11]","[1icmp800OTH, 11]","[17576tcp00RSTOS0, 10]","[8081tcp00REJ, 6]","[1icmp560OTH, 5]","[80tcp00REJ, 4]","[0icmp1360OTH, 4]","[13icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[1icmp880OTH, 2]","[3icmp800OTH, 2]","[5355udp45225SF, 1]","[3icmp560OTH, 1]","[13icmp840OTH, 1]","[13icmp1360OTH, 1]","[123udp672576SF, 1]","[123udp11521056SF, 1]","[123udp384288SF, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 69]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142206]","[52869tcp00REJ, 17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142373]","[37215tcp00REJ, 16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142221]","[80tcp00S0, 127980]","[8080tcp00S0, 14219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[18344tcp00RSTOS0, 34]","[123udp960S0, 33]","[10icmp800OTH, 31]","[80tcp00RSTRH, 21]","[17576tcp00RSTOS0, 20]","[17832tcp00RSTOS0, 17]","[0icmp560OTH, 16]","[80tcp00RSTO, 16]","[53udp1560S0, 14]","[0icmp800OTH, 11]","[53udp9090SF, 10]","[1icmp800OTH, 10]","[53udp900S0, 10]","[13icmp560OTH, 9]","[0icmp1360OTH, 6]","[8080tcp00RSTRH, 6]","[53udp1800S0, 5]","[1icmp560OTH, 3]","[8080tcp00RSTO, 1]","[123udp9696SF, 1]","[123udp384288SF, 1]","[123udp864768SF, 1]","[123udp672576SF, 1]","[0icmp880OTH, 1]","[53udp3120S0, 1]","[53udp360180SF, 1]","[17576tcp00REJ, 1]","[2icmp560OTH, 1]","[123udp23042208SF, 1]","[1icmp880OTH, 1]","[5353udp16500S0, 1]","[0icmp1600OTH, 1]"
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142391]","[80tcp00S0, 128091]","[8080tcp00S0, 14229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp1560S0, 50]","[53udp9090SF, 38]","[53udp900S0, 38]","[123udp960S0, 30]","[17576tcp00RSTOS0, 27]","[17832tcp00RSTOS0, 24]","[10icmp800OTH, 24]","[0icmp560OTH, 17]","[80tcp00RSTRH, 17]","[18344tcp00RSTOS0, 15]","[1icmp800OTH, 12]","[53udp1800S0, 11]","[0icmp800OTH, 9]","[80tcp00RSTO, 7]","[13icmp560OTH, 4]","[8080tcp00RSTRH, 4]","[17576tcp00REJ, 3]","[1icmp880OTH, 3]","[0icmp1360OTH, 3]","[3icmp800OTH, 3]","[53udp78206SF, 2]","[53udp780S0, 2]","[123udp18241728SF, 1]","[0icmp2800OTH, 1]","[3icmp880OTH, 1]","[17832tcp00REJ, 1]","[0icmp880OTH, 1]",,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142240]","[80tcp00S0, 128025]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 40]","[53udp900S0, 40]","[53udp1560S0, 40]","[18344tcp00RSTOS0, 31]","[10icmp800OTH, 22]","[17832tcp00RSTOS0, 20]","[123udp960S0, 19]","[1icmp800OTH, 16]","[80tcp00RSTRH, 16]","[17576tcp00RSTOS0, 15]","[0icmp560OTH, 15]","[80tcp00RSTO, 14]","[0icmp800OTH, 7]","[53udp780S0, 6]","[13icmp560OTH, 5]","[53udp78206SF, 5]","[8080tcp00RSTRH, 4]","[1icmp880OTH, 3]","[0icmp880OTH, 3]","[123udp1920S0, 3]","[1icmp560OTH, 2]","[8080tcp00RSTO, 1]","[53udp156206SF, 1]","[123udp288192SF, 1]","[123udp11521056SF, 1]","[123udp384288SF, 1]","[0icmp1360OTH, 1]","[123udp480384SF, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142075]","[80tcp00S0, 128184]","[8080tcp00S0, 14243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 51]","[53udp900S0, 51]","[53udp1560S0, 50]","[18344tcp00RSTOS0, 35]","[10icmp800OTH, 27]","[17576tcp00RSTOS0, 22]","[80tcp00RSTRH, 20]","[1icmp800OTH, 15]","[80tcp00RSTO, 14]","[17832tcp00RSTOS0, 14]","[0icmp560OTH, 12]","[123udp960S0, 11]","[0icmp800OTH, 6]","[13icmp560OTH, 6]","[0icmp1360OTH, 6]","[8080tcp00RSTRH, 6]","[1icmp880OTH, 5]","[1icmp560OTH, 5]","[0icmp2800OTH, 2]","[53udp780S0, 2]","[53udp156206SF, 2]","[123udp672576SF, 1]","[18344tcp00REJ, 1]","[43406tcp00RSTOS0, 1]","[123udp864768SF, 1]","[8080tcp00RSTO, 1]","[3icmp800OTH, 1]","[123udp17281632SF, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142392]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142378]","[80tcp00S0, 128037]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[18344tcp00RSTOS0, 55]","[53udp9090SF, 52]","[53udp1560S0, 49]","[53udp900S0, 46]","[10icmp800OTH, 29]","[0icmp560OTH, 19]","[17576tcp00RSTOS0, 18]","[17832tcp00RSTOS0, 14]","[123udp960S0, 13]","[0icmp800OTH, 11]","[80tcp00RSTRH, 8]","[80tcp00RSTO, 7]","[1icmp800OTH, 6]","[1icmp560OTH, 6]","[0icmp1360OTH, 3]","[8080tcp00RSTRH, 1]","[53udp156206SF, 1]","[123udp12481152SF, 1]","[53udp780S0, 1]","[0icmp880OTH, 1]","[3icmp800OTH, 1]","[8080tcp00RSTO, 1]","[13icmp840OTH, 1]","[1icmp880OTH, 1]","[17576tcp00REJ, 1]","[13icmp560OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142231]","[80tcp00S0, 128023]","[8080tcp00S0, 14226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 62]","[53udp1560S0, 49]","[53udp900S0, 34]","[18344tcp00RSTOS0, 31]","[10icmp800OTH, 22]","[80tcp00RSTO, 19]","[123udp960S0, 15]","[17576tcp00RSTOS0, 14]","[0icmp560OTH, 13]","[80tcp00RSTRH, 13]","[17832tcp00RSTOS0, 11]","[0icmp800OTH, 10]","[1icmp800OTH, 10]","[1icmp560OTH, 4]","[8080tcp00RSTRH, 3]","[13icmp560OTH, 2]","[53udp78206SF, 2]","[17576tcp00REJ, 2]","[53udp780S0, 2]","[1icmp880OTH, 2]","[0icmp1360OTH, 2]","[123udp480384SF, 1]","[123udp768672SF, 1]","[13icmp840OTH, 1]","[3icmp800OTH, 1]","[123udp19201824SF, 1]","[123udp12481152SF, 1]","[0icmp880OTH, 1]","[17832tcp00REJ, 1]",,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142394]","[80tcp00S0, 128195]","[8080tcp00S0, 14238]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 69]","[53udp1560S0, 42]","[10icmp800OTH, 30]","[123udp960S0, 25]","[17576tcp00RSTOS0, 24]","[18344tcp00RSTOS0, 22]","[17832tcp00RSTOS0, 18]","[80tcp00RSTRH, 18]","[53udp900S0, 15]","[1icmp800OTH, 12]","[80tcp00RSTO, 9]","[0icmp560OTH, 8]","[0icmp800OTH, 8]","[53udp78206SF, 4]","[53udp780S0, 4]","[17576tcp00REJ, 3]","[0icmp1360OTH, 3]","[1icmp560OTH, 3]","[13icmp560OTH, 3]","[8080tcp00RSTRH, 3]","[123udp384288SF, 2]","[53udp90240SF, 2]","[10icmp880OTH, 1]","[53udp156206SF, 1]","[3icmp800OTH, 1]","[0icmp1600OTH, 1]","[53udp7878SF, 1]","[123udp288192SF, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142237]","[80tcp00S0, 127889]","[8080tcp00S0, 14207]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
